tuple, count, support
{'citrus fruit', 'soda'}, 126, 0.012811387900355872
{'chocolate', 'other vegetables'}, 125, 0.012709710218607015
{'whole milk', 'waffles'}, 125, 0.012709710218607015
{'brown bread', 'soda'}, 124, 0.01260803253685816
{'brown bread', 'rolls/buns'}, 124, 0.01260803253685816
{'sausage', 'pastry'}, 123, 0.012506354855109304
{'yogurt', 'cream cheese '}, 122, 0.012404677173360447
{'domestic eggs', 'soda'}, 122, 0.012404677173360447
{'yogurt', 'frozen vegetables'}, 122, 0.012404677173360447
{'yogurt', 'napkins'}, 121, 0.012302999491611592
{'whole milk', 'onions'}, 119, 0.012099644128113879
{'fruit/vegetable juice', 'root vegetables'}, 118, 0.011997966446365024
{'napkins', 'soda'}, 118, 0.011997966446365024
{'sausage', 'bottled water'}, 118, 0.011997966446365024
{'pork', 'soda'}, 117, 0.011896288764616167
{'pastry', 'shopping bags'}, 117, 0.011896288764616167
{'newspapers', 'tropical fruit'}, 116, 0.01179461108286731
{'chocolate', 'rolls/buns'}, 116, 0.01179461108286731
{'whole milk', 'berries'}, 116, 0.01179461108286731
{'napkins', 'rolls/buns'}, 115, 0.011692933401118455
{'yogurt', 'beef'}, 115, 0.011692933401118455
{'whipped/sour cream', 'soda'}, 114, 0.011591255719369599
{'dessert', 'other vegetables'}, 114, 0.011591255719369599
{'whole milk', 'butter milk'}, 114, 0.011591255719369599
{'root vegetables', 'frozen vegetables'}, 114, 0.011591255719369599
{'ham', 'whole milk'}, 113, 0.011489578037620742
{'newspapers', 'root vegetables'}, 113, 0.011489578037620742
{'canned beer', 'shopping bags'}, 112, 0.011387900355871887
{'tropical fruit', 'domestic eggs'}, 112, 0.011387900355871887
{'frankfurter', 'soda'}, 111, 0.01128622267412303
{'rolls/buns', 'canned beer'}, 111, 0.01128622267412303
{'bottled water', 'newspapers'}, 111, 0.01128622267412303
{'whole milk', 'oil'}, 111, 0.01128622267412303
{'rolls/buns', 'pork'}, 111, 0.01128622267412303
{'sausage', 'citrus fruit'}, 111, 0.01128622267412303
{'whole milk', 'salty snack'}, 110, 0.011184544992374174
{'yogurt', 'frankfurter'}, 110, 0.011184544992374174
{'root vegetables', 'margarine'}, 109, 0.011082867310625319
{'pastry', 'root vegetables'}, 108, 0.010981189628876462
{'bottled water', 'shopping bags'}, 108, 0.010981189628876462
{'coffee', 'rolls/buns'}, 108, 0.010981189628876462
{'curd', 'root vegetables'}, 107, 0.010879511947127605
{'citrus fruit', 'whipped/sour cream'}, 107, 0.010879511947127605
{'chicken', 'root vegetables'}, 107, 0.010879511947127605
{'salty snack', 'other vegetables'}, 106, 0.010777834265378749
{'sugar', 'other vegetables'}, 106, 0.010777834265378749
{'sausage', 'pip fruit'}, 106, 0.010777834265378749
{'whole milk', 'sliced cheese'}, 106, 0.010777834265378749
{'other vegetables', 'long life bakery product'}, 105, 0.010676156583629894
{'fruit/vegetable juice', 'shopping bags'}, 105, 0.010676156583629894
{'brown bread', 'tropical fruit'}, 105, 0.010676156583629894
{'sausage', 'brown bread'}, 105, 0.010676156583629894
{'pastry', 'pip fruit'}, 105, 0.010676156583629894
{'yogurt', 'berries'}, 104, 0.010574478901881037
{'bottled water', 'pip fruit'}, 104, 0.010574478901881037
{'curd', 'whipped/sour cream'}, 103, 0.01047280122013218
{'citrus fruit', 'domestic eggs'}, 102, 0.010371123538383325
{'citrus fruit', 'fruit/vegetable juice'}, 102, 0.010371123538383325
{'butter milk', 'other vegetables'}, 102, 0.010371123538383325
{'curd', 'tropical fruit'}, 101, 0.010269445856634469
{'other vegetables', 'berries'}, 101, 0.010269445856634469
{'bottled water', 'margarine'}, 101, 0.010269445856634469
{'white bread', 'soda'}, 101, 0.010269445856634469
{'brown bread', 'root vegetables'}, 100, 0.010167768174885612
{'whipped/sour cream', 'butter'}, 100, 0.010167768174885612
{'rolls/buns', 'frozen vegetables'}, 100, 0.010167768174885612
{'frankfurter', 'root vegetables'}, 100, 0.010167768174885612
{'margarine', 'soda'}, 100, 0.010167768174885612
{'other vegetables', 'waffles'}, 99, 0.010066090493136757
{'curd', 'rolls/buns'}, 99, 0.010066090493136757
{'sausage', 'fruit/vegetable juice'}, 99, 0.010066090493136757
{'sausage', 'frankfurter'}, 99, 0.010066090493136757
{'whole milk', 'hard cheese'}, 99, 0.010066090493136757
{'napkins', 'tropical fruit'}, 99, 0.010066090493136757
{'butter', 'tropical fruit'}, 98, 0.0099644128113879
{'coffee', 'soda'}, 98, 0.0099644128113879
{'cream cheese ', 'rolls/buns'}, 98, 0.0099644128113879
{'oil', 'other vegetables'}, 98, 0.0099644128113879
{'whipped/sour cream', 'domestic eggs'}, 98, 0.0099644128113879
{'meat', 'other vegetables'}, 98, 0.0099644128113879
{'whole milk', 'meat'}, 98, 0.0099644128113879
{'napkins', 'root vegetables'}, 98, 0.0099644128113879
{'dessert', 'yogurt'}, 97, 0.009862735129639044
{'dessert', 'soda'}, 97, 0.009862735129639044
{'whole milk', 'frozen meals'}, 97, 0.009862735129639044
{'coffee', 'yogurt'}, 96, 0.009761057447890189
{'citrus fruit', 'pastry'}, 96, 0.009761057447890189
{'citrus fruit', 'shopping bags'}, 96, 0.009761057447890189
{'pastry', 'brown bread'}, 95, 0.009659379766141332
{'bottled beer', 'root vegetables'}, 95, 0.009659379766141332
{'butter', 'domestic eggs'}, 95, 0.009659379766141332
{'rolls/buns', 'chicken'}, 95, 0.009659379766141332
{'other vegetables', 'hygiene articles'}, 94, 0.009557702084392475
{'waffles', 'soda'}, 94, 0.009557702084392475
{'sausage', 'domestic eggs'}, 94, 0.009557702084392475
{'fruit/vegetable juice', 'pip fruit'}, 94, 0.009557702084392475
{'yogurt', 'pork'}, 94, 0.009557702084392475
{'hard cheese', 'other vegetables'}, 93, 0.00945602440264362
{'tropical fruit', 'frankfurter'}, 93, 0.00945602440264362
{'onions', 'root vegetables'}, 93, 0.00945602440264362
{'tropical fruit', 'margarine'}, 92, 0.009354346720894764
{'coffee', 'shopping bags'}, 92, 0.009354346720894764
{'salty snack', 'soda'}, 92, 0.009354346720894764
{'pip fruit', 'shopping bags'}, 92, 0.009354346720894764
{'brown bread', 'shopping bags'}, 91, 0.009252669039145907
{'bottled beer', 'yogurt'}, 91, 0.009252669039145907
{'whole milk', 'baking powder'}, 91, 0.009252669039145907
{'whipped/sour cream', 'pip fruit'}, 91, 0.009252669039145907
{'chocolate', 'yogurt'}, 91, 0.009252669039145907
{'citrus fruit', 'butter'}, 90, 0.009150991357397052
{'rolls/buns', 'waffles'}, 90, 0.009150991357397052
{'ham', 'other vegetables'}, 90, 0.009150991357397052
{'bottled water', 'domestic eggs'}, 90, 0.009150991357397052
{'whipped/sour cream', 'berries'}, 89, 0.009049313675648195
{'pastry', 'domestic eggs'}, 89, 0.009049313675648195
{'grapes', 'other vegetables'}, 89, 0.009049313675648195
{'other vegetables', 'canned beer'}, 89, 0.009049313675648195
{'whipped/sour cream', 'fruit/vegetable juice'}, 89, 0.009049313675648195
{'yogurt', 'white bread'}, 89, 0.009049313675648195
{'other vegetables', 'sliced cheese'}, 89, 0.009049313675648195
{'sausage', 'whipped/sour cream'}, 89, 0.009049313675648195
{'domestic eggs', 'shopping bags'}, 89, 0.009049313675648195
{'bottled water', 'butter'}, 88, 0.008947635993899338
{'pastry', 'bottled water'}, 88, 0.008947635993899338
{'whole milk', 'detergent'}, 88, 0.008947635993899338
{'butter', 'soda'}, 87, 0.008845958312150484
{'whole milk', 'canned beer'}, 87, 0.008845958312150484
{'whole milk', 'cat food'}, 87, 0.008845958312150484
{'tropical fruit', 'white bread'}, 86, 0.008744280630401627
{'whipped/sour cream', 'bottled water'}, 86, 0.008744280630401627
{'yogurt', 'long life bakery product'}, 86, 0.008744280630401627
{'tropical fruit', 'frozen vegetables'}, 86, 0.008744280630401627
{'bottled water', 'napkins'}, 85, 0.00864260294865277
{'hamburger meat', 'rolls/buns'}, 85, 0.00864260294865277
{'candy', 'soda'}, 85, 0.00864260294865277
{'frozen vegetables', 'soda'}, 85, 0.00864260294865277
{'domestic eggs', 'pip fruit'}, 85, 0.00864260294865277
{'sausage', 'butter'}, 85, 0.00864260294865277
{'butter milk', 'yogurt'}, 84, 0.008540925266903915
{'margarine', 'pip fruit'}, 84, 0.008540925266903915
{'pastry', 'fruit/vegetable juice'}, 84, 0.008540925266903915
{'tropical fruit', 'pork'}, 84, 0.008540925266903915
{'whole milk', 'flour'}, 83, 0.008439247585155059
{'citrus fruit', 'beef'}, 83, 0.008439247585155059
{'pastry', 'newspapers'}, 83, 0.008439247585155059
{'fruit/vegetable juice', 'brown bread'}, 82, 0.008337569903406202
{'citrus fruit', 'newspapers'}, 82, 0.008337569903406202
{'domestic eggs', 'margarine'}, 82, 0.008337569903406202
{'citrus fruit', 'brown bread'}, 82, 0.008337569903406202
{'chicken', 'soda'}, 82, 0.008337569903406202
{'yogurt', 'chicken'}, 82, 0.008337569903406202
{'pastry', 'frankfurter'}, 82, 0.008337569903406202
{'fruit/vegetable juice', 'newspapers'}, 81, 0.008235892221657347
{'whipped/sour cream', 'pork'}, 81, 0.008235892221657347
{'whole milk', 'candy'}, 81, 0.008235892221657347
{'bottled beer', 'tropical fruit'}, 81, 0.008235892221657347
{'frankfurter', 'shopping bags'}, 81, 0.008235892221657347
{'bottled water', 'brown bread'}, 81, 0.008235892221657347
{'other vegetables', 'UHT-milk'}, 80, 0.00813421453990849
{'chocolate', 'tropical fruit'}, 80, 0.00813421453990849
{'chocolate', 'shopping bags'}, 80, 0.00813421453990849
{'curd', 'soda'}, 80, 0.00813421453990849
{'beef', 'soda'}, 80, 0.00813421453990849
{'fruit/vegetable juice', 'butter'}, 79, 0.008032536858159633
{'bottled water', 'canned beer'}, 79, 0.008032536858159633
{'sausage', 'newspapers'}, 79, 0.008032536858159633
{'fruit/vegetable juice', 'domestic eggs'}, 79, 0.008032536858159633
{'whole milk', 'specialty chocolate'}, 79, 0.008032536858159633
{'yogurt', 'sliced cheese'}, 79, 0.008032536858159633
{'chocolate', 'pastry'}, 79, 0.008032536858159633
{'citrus fruit', 'margarine'}, 78, 0.007930859176410779
{'rolls/buns', 'long life bakery product'}, 78, 0.007930859176410779
{'root vegetables', 'white bread'}, 78, 0.007930859176410779
{'whipped/sour cream', 'shopping bags'}, 78, 0.007930859176410779
{'whipped/sour cream', 'frozen vegetables'}, 78, 0.007930859176410779
{'fruit/vegetable juice', 'frozen vegetables'}, 77, 0.007829181494661922
{'sausage', 'bottled beer'}, 77, 0.007829181494661922
{'curd', 'pip fruit'}, 77, 0.007829181494661922
{'whole milk', 'herbs'}, 76, 0.007727503812913066
{'other vegetables', 'herbs'}, 76, 0.007727503812913066
{'newspapers', 'brown bread'}, 75, 0.007625826131164209
{'butter milk', 'rolls/buns'}, 75, 0.007625826131164209
{'sausage', 'curd'}, 75, 0.007625826131164209
{'rolls/buns', 'sliced cheese'}, 75, 0.007625826131164209
{'pork', 'beef'}, 75, 0.007625826131164209
{'UHT-milk', 'soda'}, 75, 0.007625826131164209
{'citrus fruit', 'napkins'}, 75, 0.007625826131164209
{'brown bread', 'pip fruit'}, 75, 0.007625826131164209
{'tropical fruit', 'beef'}, 75, 0.007625826131164209
{'pastry', 'butter'}, 75, 0.007625826131164209
{'long life bakery product', 'soda'}, 75, 0.007625826131164209
{'yogurt', 'waffles'}, 74, 0.0075241484494153535
{'curd', 'pastry'}, 74, 0.0075241484494153535
{'whole milk', 'soft cheese'}, 74, 0.0075241484494153535
{'frozen meals', 'other vegetables'}, 74, 0.0075241484494153535
{'cream cheese ', 'root vegetables'}, 74, 0.0075241484494153535
{'pastry', 'whipped/sour cream'}, 74, 0.0075241484494153535
{'fruit/vegetable juice', 'white bread'}, 73, 0.007422470767666497
{'shopping bags', 'white bread'}, 73, 0.007422470767666497
{'bottled water', 'pork'}, 73, 0.007422470767666497
{'yogurt', 'UHT-milk'}, 73, 0.007422470767666497
{'soda', 'berries'}, 72, 0.007320793085917641
{'sugar', 'soda'}, 72, 0.007320793085917641
{'coffee', 'root vegetables'}, 72, 0.007320793085917641
{'bottled water', 'UHT-milk'}, 72, 0.007320793085917641
{'whole milk', 'grapes'}, 72, 0.007320793085917641
{'baking powder', 'other vegetables'}, 72, 0.007320793085917641
{'misc. beverages', 'soda'}, 72, 0.007320793085917641
{'bottled water', 'frankfurter'}, 72, 0.007320793085917641
{'frozen vegetables', 'pip fruit'}, 72, 0.007320793085917641
{'butter', 'pip fruit'}, 72, 0.007320793085917641
{'yogurt', 'hygiene articles'}, 72, 0.007320793085917641
{'coffee', 'bottled water'}, 72, 0.007320793085917641
{'cream cheese ', 'tropical fruit'}, 71, 0.007219115404168785
{'specialty bar', 'soda'}, 71, 0.007219115404168785
{'yogurt', 'onions'}, 71, 0.007219115404168785
{'napkins', 'shopping bags'}, 71, 0.007219115404168785
{'frankfurter', 'pip fruit'}, 71, 0.007219115404168785
{'sausage', 'white bread'}, 71, 0.007219115404168785
{'whipped/sour cream', 'napkins'}, 71, 0.007219115404168785
{'whipped/sour cream', 'chicken'}, 71, 0.007219115404168785
{'whipped/sour cream', 'newspapers'}, 71, 0.007219115404168785
{'coffee', 'tropical fruit'}, 70, 0.0071174377224199285
{'curd', 'citrus fruit'}, 70, 0.0071174377224199285
{'candy', 'rolls/buns'}, 70, 0.0071174377224199285
{'whole milk', 'pickled vegetables'}, 70, 0.0071174377224199285
{'brown bread', 'frankfurter'}, 70, 0.0071174377224199285
{'newspapers', 'margarine'}, 70, 0.0071174377224199285
{'sausage', 'margarine'}, 70, 0.0071174377224199285
{'other vegetables', 'soft cheese'}, 70, 0.0071174377224199285
{'whole milk', 'semi-finished bread'}, 70, 0.0071174377224199285
{'pastry', 'waffles'}, 69, 0.007015760040671073
{'whole milk', 'processed cheese'}, 69, 0.007015760040671073
{'sugar', 'rolls/buns'}, 69, 0.007015760040671073
{'domestic eggs', 'frankfurter'}, 69, 0.007015760040671073
{'bottled beer', 'fruit/vegetable juice'}, 69, 0.007015760040671073
{'oil', 'root vegetables'}, 69, 0.007015760040671073
{'sausage', 'sliced cheese'}, 69, 0.007015760040671073
{'whole milk', 'misc. beverages'}, 69, 0.007015760040671073
{'hygiene articles', 'soda'}, 69, 0.007015760040671073
{'herbs', 'root vegetables'}, 69, 0.007015760040671073
{'pastry', 'napkins'}, 69, 0.007015760040671073
{'candy', 'other vegetables'}, 68, 0.006914082358922217
{'newspapers', 'shopping bags'}, 68, 0.006914082358922217
{'sugar', 'yogurt'}, 68, 0.006914082358922217
{'coffee', 'pastry'}, 68, 0.006914082358922217
{'ham', 'rolls/buns'}, 68, 0.006914082358922217
{'newspapers', 'domestic eggs'}, 68, 0.006914082358922217
{'citrus fruit', 'chicken'}, 68, 0.006914082358922217
{'sausage', 'coffee'}, 68, 0.006914082358922217
{'fruit/vegetable juice', 'napkins'}, 68, 0.006914082358922217
{'meat', 'rolls/buns'}, 68, 0.006914082358922217
{'whole milk', 'pot plants'}, 68, 0.006914082358922217
{'coffee', 'pip fruit'}, 68, 0.006914082358922217
{'curd', 'butter'}, 67, 0.00681240467717336
{'whole milk', 'beverages'}, 67, 0.00681240467717336
{'brown bread', 'domestic eggs'}, 67, 0.00681240467717336
{'cream cheese ', 'soda'}, 67, 0.00681240467717336
{'onions', 'rolls/buns'}, 67, 0.00681240467717336
{'dessert', 'rolls/buns'}, 67, 0.00681240467717336
{'pastry', 'margarine'}, 67, 0.00681240467717336
{'whipped/sour cream', 'margarine'}, 67, 0.00681240467717336
{'chocolate', 'fruit/vegetable juice'}, 67, 0.00681240467717336
{'whipped/sour cream', 'beef'}, 66, 0.006710726995424504
{'tropical fruit', 'berries'}, 66, 0.006710726995424504
{'butter', 'margarine'}, 66, 0.006710726995424504
{'sausage', 'napkins'}, 66, 0.006710726995424504
{'tropical fruit', 'hygiene articles'}, 66, 0.006710726995424504
{'ham', 'yogurt'}, 66, 0.006710726995424504
{'napkins', 'pip fruit'}, 66, 0.006710726995424504
{'newspapers', 'pip fruit'}, 66, 0.006710726995424504
{'chicken', 'frozen vegetables'}, 66, 0.006710726995424504
{'waffles', 'root vegetables'}, 65, 0.0066090493136756485
{'sausage', 'chocolate'}, 65, 0.0066090493136756485
{'rolls/buns', 'berries'}, 65, 0.0066090493136756485
{'root vegetables', 'berries'}, 65, 0.0066090493136756485
{'pip fruit', 'white bread'}, 65, 0.0066090493136756485
{'citrus fruit', 'frozen vegetables'}, 65, 0.0066090493136756485
{'newspapers', 'pork'}, 65, 0.0066090493136756485
{'curd', 'domestic eggs'}, 64, 0.006507371631926792
{'brown bread', 'margarine'}, 64, 0.006507371631926792
{'citrus fruit', 'frankfurter'}, 64, 0.006507371631926792
{'citrus fruit', 'pork'}, 64, 0.006507371631926792
{'specialty bar', 'whole milk'}, 64, 0.006507371631926792
{'sausage', 'pork'}, 64, 0.006507371631926792
{'hamburger meat', 'yogurt'}, 64, 0.006507371631926792
{'cat food', 'other vegetables'}, 64, 0.006507371631926792
{'rolls/buns', 'white bread'}, 64, 0.006507371631926792
{'rolls/buns', 'UHT-milk'}, 63, 0.006405693950177936
{'chicken', 'tropical fruit'}, 63, 0.006405693950177936
{'sugar', 'root vegetables'}, 63, 0.006405693950177936
{'detergent', 'other vegetables'}, 63, 0.006405693950177936
{'coffee', 'citrus fruit'}, 63, 0.006405693950177936
{'chocolate', 'citrus fruit'}, 63, 0.006405693950177936
{'other vegetables', 'pickled vegetables'}, 63, 0.006405693950177936
{'frankfurter', 'margarine'}, 63, 0.006405693950177936
{'whipped/sour cream', 'cream cheese '}, 63, 0.006405693950177936
{'pork', 'margarine'}, 63, 0.006405693950177936
{'pork', 'shopping bags'}, 63, 0.006405693950177936
{'newspapers', 'beef'}, 63, 0.006405693950177936
{'pork', 'frozen vegetables'}, 63, 0.006405693950177936
{'yogurt', 'hard cheese'}, 63, 0.006405693950177936
{'chocolate', 'root vegetables'}, 63, 0.006405693950177936
{'flour', 'other vegetables'}, 62, 0.00630401626842908
{'sausage', 'canned beer'}, 62, 0.00630401626842908
{'curd', 'margarine'}, 62, 0.00630401626842908
{'pastry', 'pork'}, 62, 0.00630401626842908
{'pastry', 'beef'}, 62, 0.00630401626842908
{'specialty chocolate', 'soda'}, 62, 0.00630401626842908
{'tropical fruit', 'long life bakery product'}, 62, 0.00630401626842908
{'dessert', 'tropical fruit'}, 62, 0.00630401626842908
{'fruit/vegetable juice', 'margarine'}, 61, 0.0062023385866802234
{'hamburger meat', 'root vegetables'}, 61, 0.0062023385866802234
{'bottled water', 'frozen vegetables'}, 61, 0.0062023385866802234
{'dessert', 'shopping bags'}, 61, 0.0062023385866802234
{'whipped/sour cream', 'frankfurter'}, 61, 0.0062023385866802234
{'yogurt', 'frozen meals'}, 61, 0.0062023385866802234
{'beef', 'margarine'}, 61, 0.0062023385866802234
{'bottled water', 'beef'}, 61, 0.0062023385866802234
{'newspapers', 'napkins'}, 61, 0.0062023385866802234
{'fruit/vegetable juice', 'long life bakery product'}, 61, 0.0062023385866802234
{'frozen meals', 'soda'}, 61, 0.0062023385866802234
{'yogurt', 'salty snack'}, 61, 0.0062023385866802234
{'chicken', 'domestic eggs'}, 61, 0.0062023385866802234
{'chocolate', 'butter'}, 61, 0.0062023385866802234
{'cat food', 'yogurt'}, 61, 0.0062023385866802234
{'cream cheese ', 'pip fruit'}, 60, 0.006100660904931368
{'curd', 'bottled water'}, 60, 0.006100660904931368
